timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2021-02-09 08:05:00,47854.92000000,47928.23000000,47571.39000000,47687.02000000,679.71541100,1612858199999,32464391.27748923,18777,383.34936400,18311101.41515984,0
2021-02-09 08:10:00,47678.28000000,47706.08000000,47442.38000000,47482.56000000,537.18427200,1612858499999,25562070.03350399,16795,256.33725400,12199577.26447434,0
2021-02-09 08:15:00,47478.19000000,47486.74000000,46947.07000000,47069.88000000,989.25801400,1612858799999,46634106.63815194,21399,442.95600800,20877097.44187970,0
2021-02-09 08:20:00,47063.92000000,47127.74000000,46841.53000000,46882.25000000,551.46770000,1612859099999,25906570.09228239,14196,262.22376900,12318898.21036010,0
2021-02-09 08:25:00,46882.24000000,47000.00000000,46800.00000000,46969.29000000,410.50090100,1612859399999,19257600.32136501,11596,192.26080800,9019640.65611135,0
2021-02-09 08:30:00,46969.36000000,46979.45000000,46624.84000000,46674.54000000,596.88936500,1612859699999,27924682.65437195,12867,215.11369800,10068393.42095877,0
2021-02-09 08:35:00,46674.57000000,46843.65000000,46658.33000000,46791.84000000,494.95886800,1612859999999,23145347.17958428,11406,271.22080200,12684663.63699900,0
2021-02-09 08:40:00,46791.74000000,46898.50000000,46644.70000000,46777.02000000,517.87275500,1612860299999,24243107.20355843,14060,272.08704800,12739401.39399332,0
2021-02-09 08:45:00,46777.02000000,47123.13000000,46777.01000000,47087.44000000,614.97831800,1612860599999,28890010.45414282,15215,368.40263500,17305896.82158367,0
2021-02-09 08:50:00,47087.44000000,47193.78000000,47026.06000000,47033.42000000,375.01487500,1612860899999,17662168.15259258,9171,159.53535700,7514687.95313823,0
2021-02-09 08:55:00,47033.41000000,47160.00000000,46938.90000000,47109.51000000,310.47252900,1612861199999,14609426.07836943,9162,156.47016000,7363678.65317687,0
2021-02-09 09:00:00,47106.59000000,47160.00000000,46950.66000000,46993.84000000,289.88063400,1612861499999,13641273.10074313,8791,146.76180200,6906447.34763559,0
2021-02-09 09:05:00,46993.84000000,47050.00000000,46735.20000000,46749.95000000,312.72989400,1612861799999,14686133.18125539,9560,142.19657500,6679478.79769196,0
2021-02-09 09:10:00,46749.96000000,46943.43000000,46645.00000000,46682.78000000,448.81658700,1612862099999,21020961.17067825,10871,210.74782600,9873713.46704042,0
2021-02-09 09:15:00,46668.77000000,47081.07000000,46650.09000000,46870.91000000,413.65482900,1612862399999,19361321.48145250,9986,217.42878300,10180561.81415840,0
2021-02-09 09:20:00,46870.91000000,46965.90000000,46870.90000000,46906.77000000,240.16571900,1612862699999,11266139.14930333,7597,136.87231600,6420636.47437332,0
2021-02-09 09:25:00,46906.77000000,46919.00000000,46655.00000000,46714.18000000,244.45600700,1612862999999,11443934.70544256,7788,114.85148000,5378352.63437677,0
2021-02-09 09:30:00,46714.18000000,46719.99000000,46126.00000000,46156.44000000,773.55842900,1612863299999,35917697.33524385,17914,267.32156900,12410170.03574856,0
2021-02-09 09:35:00,46156.43000000,46419.45000000,46146.16000000,46348.12000000,339.07834900,1612863599999,15703305.02709658,8834,174.29916700,8071917.29092910,0
2021-02-09 09:40:00,46348.12000000,46422.78000000,46000.00000000,46008.92000000,846.19539600,1612863899999,39079135.79832503,11411,315.29562100,14585547.28233911,0
2021-02-09 09:45:00,46008.92000000,46557.15000000,46000.00000000,46447.68000000,368.57474300,1612864199999,17067880.66383391,9912,212.59923300,9848991.51062199,0
2021-02-09 09:50:00,46447.67000000,46580.88000000,46200.00000000,46289.33000000,353.41520500,1612864499999,16410296.72541208,8849,180.50287000,8382336.02069688,0
2021-02-09 09:55:00,46289.33000000,46546.80000000,46144.94000000,46401.30000000,358.60881000,1612864799999,16645865.36984048,8900,132.17638300,6140012.70305728,0
2021-02-09 10:00:00,46401.30000000,46529.99000000,46022.02000000,46100.74000000,374.14989100,1612865099999,17308509.10199557,10660,156.62422500,7247515.55544767,0
2021-02-09 10:05:00,46100.74000000,46184.77000000,45912.17000000,46184.77000000,557.95722500,1612865399999,25692039.27714553,13987,237.97651400,10958946.80466851,0
2021-02-09 10:10:00,46184.76000000,46391.69000000,46102.71000000,46214.29000000,403.09325200,1612865699999,18648554.77508071,8729,220.62222800,10207513.37294670,0
2021-02-09 10:15:00,46214.28000000,46463.29000000,46206.56000000,46349.66000000,277.25901300,1612865999999,12852708.89091208,8363,164.69547900,7634053.92689065,0
2021-02-09 10:20:00,46349.66000000,46386.59000000,46057.86000000,46232.28000000,304.16330200,1612866299999,14060583.57596141,8811,147.74484900,6829260.79805275,0
2021-02-09 10:25:00,46232.28000000,46399.99000000,46096.48000000,46300.01000000,252.98418300,1612866599999,11694484.10480440,7552,143.44974700,6629487.09050997,0
2021-02-09 10:30:00,46300.00000000,46588.00000000,46210.85000000,46516.59000000,391.21547400,1612866899999,18162977.80877942,9054,220.21898100,10223803.84962109,0
2021-02-09 10:35:00,46516.59000000,46541.65000000,46352.81000000,46427.59000000,262.01686900,1612867199999,12171381.24894726,7831,147.66814000,6860475.92472842,0
2021-02-09 10:40:00,46428.38000000,46444.32000000,46276.82000000,46291.40000000,241.85210500,1612867499999,11217560.67150058,7259,138.50150200,6423975.03150311,0
2021-02-09 10:45:00,46291.40000000,46366.96000000,45800.00000000,45874.49000000,472.79647800,1612867799999,21773788.41206658,13301,189.44389800,8733562.39595157,0
2021-02-09 10:50:00,45876.80000000,45948.30000000,45743.93000000,45825.14000000,677.77985500,1612868099999,31069502.00448818,12541,233.60302300,10706370.44371729,0
2021-02-09 10:55:00,45825.14000000,45843.56000000,45560.97000000,45641.77000000,629.61841200,1612868399999,28768466.07304022,12951,326.36259000,14915430.62789801,0
2021-02-09 11:00:00,45641.77000000,45997.65000000,45601.01000000,45801.37000000,490.83624200,1612868699999,22492315.32922771,13000,313.22021100,14350108.25446059,0
2021-02-09 11:05:00,45801.35000000,45928.74000000,45754.84000000,45763.99000000,269.42398100,1612868999999,12360060.01603816,11083,139.13462700,6383349.20272216,0
2021-02-09 11:10:00,45764.00000000,45925.77000000,45627.20000000,45770.97000000,266.56315700,1612869299999,12206346.74509269,13043,128.49175800,5884221.17279302,0
2021-02-09 11:15:00,45766.12000000,46080.00000000,45602.44000000,45980.54000000,405.46425200,1612869599999,18628963.18179963,14061,214.48630100,9854974.84658925,0
2021-02-09 11:20:00,45980.54000000,46104.61000000,45924.59000000,46033.02000000,301.89179600,1612869899999,13889787.90862907,10432,131.56497200,6054921.81847769,0
2021-02-09 11:25:00,46032.62000000,46289.53000000,46001.12000000,46232.38000000,389.84059400,1612870199999,17989822.88848874,12793,231.54363600,10685562.31695838,0
2021-02-09 11:30:00,46230.05000000,46410.00000000,46134.12000000,46399.30000000,275.80384400,1612870499999,12763208.16897872,11666,151.79901100,7026057.02237119,0
2021-02-09 11:35:00,46399.30000000,46683.18000000,46355.00000000,46409.49000000,485.05185200,1612870799999,22539910.81044972,14489,304.56223300,14155499.23714615,0
2021-02-09 11:40:00,46411.82000000,46478.50000000,46316.40000000,46471.78000000,224.79555100,1612871099999,10431812.13139207,9881,106.10337600,4924136.00347321,0
2021-02-09 11:45:00,46471.78000000,46471.79000000,46352.30000000,46430.00000000,226.55873900,1612871399999,10512164.70323767,8927,96.06660700,4457165.74616794,0
2021-02-09 11:50:00,46429.99000000,46597.77000000,46303.44000000,46522.43000000,239.32436100,1612871699999,11122884.05501835,10376,120.34920400,5594203.81092064,0
2021-02-09 11:55:00,46526.72000000,46542.27000000,46357.14000000,46380.92000000,243.87364400,1612871999999,11323061.98699962,9203,120.83205200,5609554.71581234,0
2021-02-09 12:00:00,46390.95000000,46500.00000000,46185.51000000,46498.11000000,340.58505400,1612872299999,15770686.26761611,9291,141.65389000,6558529.71773988,0
2021-02-09 12:05:00,46499.97000000,46806.41000000,46459.75000000,46806.41000000,512.49358300,1612872599999,23900570.92277337,12439,226.94487700,10590992.47856360,0
2021-02-09 12:10:00,46806.40000000,46806.41000000,46663.00000000,46700.12000000,419.55728600,1612872899999,19619613.26394029,9273,113.25849500,5295257.85591523,0
2021-02-09 12:15:00,46700.00000000,46740.89000000,46552.64000000,46560.14000000,179.63511900,1612873199999,8380695.72264222,6221,89.52670200,4177355.92333974,0
2021-02-09 12:20:00,46560.14000000,46607.69000000,46459.85000000,46578.39000000,191.02764900,1612873499999,8891695.30291248,6580,81.95773400,3814939.77770284,0
2021-02-09 12:25:00,46580.58000000,46600.00000000,46322.82000000,46410.50000000,342.93656600,1612873799999,15928926.60857895,10092,144.74738300,6723748.58237516,0
2021-02-09 12:30:00,46410.50000000,46438.17000000,46234.59000000,46320.00000000,329.43830400,1612874099999,15254931.34662182,9951,134.08034100,6208264.06040272,0
2021-02-09 12:35:00,46319.98000000,46370.00000000,46118.76000000,46120.28000000,316.11957700,1612874399999,14630165.78886737,10002,138.79407400,6423429.36592001,0
2021-02-09 12:40:00,46120.28000000,46199.98000000,45755.10000000,45793.96000000,597.87122600,1612874699999,27481849.68038302,17052,235.04836100,10803517.58178168,0
2021-02-09 12:45:00,45783.98000000,46000.89000000,45232.00000000,45234.61000000,1023.70077200,1612874999999,46654431.80415420,25208,407.52180800,18578926.00643500,0
2021-02-09 12:50:00,45234.61000000,45555.55000000,45170.00000000,45436.57000000,681.88456500,1612875299999,30924807.51946434,18136,345.77381900,15685339.58719601,0
2021-02-09 12:55:00,45432.39000000,45525.41000000,45128.70000000,45300.17000000,623.35454900,1612875599999,28255617.23509666,15177,276.76164400,12547629.68894375,0
2021-02-09 13:00:00,45300.17000000,45500.00000000,44961.09000000,45381.70000000,917.41584100,1612875899999,41461439.69478156,23263,446.58582700,20197166.72918859,0
2021-02-09 13:05:00,45379.42000000,45575.52000000,45318.81000000,45443.93000000,473.40475100,1612876199999,21518170.34026721,13437,248.41441000,11291623.33455431,0
2021-02-09 13:10:00,45443.93000000,45650.00000000,45443.93000000,45511.32000000,362.75217000,1612876499999,16534618.12786174,11842,178.75723900,8148118.06362641,0
2021-02-09 13:15:00,45511.31000000,45657.47000000,45454.75000000,45550.00000000,342.81973500,1612876799999,15615954.41442267,10449,131.77197200,6002803.81329211,0
2021-02-09 13:20:00,45553.38000000,45713.88000000,45546.09000000,45567.70000000,317.73216200,1612877099999,14501550.44180469,9159,147.05009800,6712222.10685168,0
2021-02-09 13:25:00,45567.04000000,45569.20000000,45123.40000000,45205.02000000,561.47749600,1612877399999,25452544.29580239,14827,202.07814400,9160976.94531331,0
2021-02-09 13:30:00,45205.03000000,46050.08000000,45106.79000000,45950.38000000,825.77216000,1612877699999,37757976.99809282,20023,461.14988400,21075857.17964257,0
